,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
134,Brendan Leipsic\leipsbr01,24,TOT,LW,62,8,0.11,0.26,0.37,0.13,0.39,1.48,7,16,23,8,36,11,39,0,-14,24.7,26.9,-2.3,0.7,0.6,1.3,0,,,
134,Brendan Leipsic\leipsbr01,24,VAN,LW,17,2,0.12,0.18,0.29,0.11,0.12,2.12,2,3,5,2,7,2,15,0,-10,6.5,9.2,-2.6,0.1,-0.1,0.0,1,0,1,0.0
135,Brendan Lemieux\lemiebr01,22,TOT,LW,63,8,0.19,0.08,0.27,0.12,1.71,1.06,12,5,17,8,27,1,20,0,6,24.0,26.7,-2.7,1.3,0.9,2.2,0,,,
136,Brendan Perlini\perlibr01,22,TOT,LW,68,9,0.21,0.10,0.31,0.14,0.41,1.72,14,7,21,10,29,5,41,0,-17,28.2,39.1,-10.9,1.3,0.2,1.5,0,,,
137,Brendan Smith\smithbr05,29,NYR,D,63,5,0.06,0.14,0.21,0.07,1.13,1.05,4,9,13,5,24,0,43,12,-7,35.8,39.1,-3.2,0.5,1.5,2.0,0,,,
138,Brenden Dillon\dillobr01,28,SJS,D,82,6,0.01,0.26,0.27,0.07,0.74,0.87,1,21,22,6,72,0,59,7,19,67.8,50.3,17.5,0.5,4.0,4.5,0,,,
139,Brent Burns\burnsbr01,33,SJS,D/RW,82,26,0.20,0.82,1.01,0.32,0.41,3.66,16,67,83,27,142,39,106,16,13,80.6,71.2,9.3,7.3,4.7,12.0,0,,,
140,Brent Seabrook\seabrbr01,33,CHI,D,78,9,0.06,0.29,0.36,0.11,0.53,2.12,5,23,28,9,66,12,89,29,-6,51.3,60.9,-9.6,1.5,1.7,3.2,0,,,
141,Brett Connolly\connobr01,26,WSH,RW,81,18,0.27,0.30,0.57,0.22,0.30,1.72,22,24,46,19,63,6,43,0,13,46.1,44.3,1.8,3.7,1.5,5.2,0,,,
142,Brett Howden\howdebr01,20,NYR,C,66,8,0.09,0.26,0.35,0.12,0.21,1.12,6,17,23,8,40,6,57,8,-16,33.4,47.4,-14.0,0.2,0.6,0.7,0,,,
143,Brett Kulak\kulakbr01,25,MTL,D,57,6,0.11,0.19,0.30,0.11,0.54,1.79,6,11,17,6,53,0,46,5,12,46.7,36.3,10.5,1.1,2.9,3.9,0,,,
144,Brett Pesce\pescebr01,24,CAR,D,73,10,0.10,0.30,0.40,0.14,0.33,1.34,7,22,29,10,76,1,60,20,35,61.7,46.3,15.4,1.8,6.1,7.9,0,,,
145,Brett Ritchie\ritchbr01,25,DAL,RW,53,3,0.08,0.04,0.11,0.05,1.08,1.08,4,2,6,3,12,2,17,0,-7,13.9,20.4,-6.5,-0.4,0.5,0.1,0,,,
146,Brett Seney\seneybr01,22,NJD,LW,51,5,0.10,0.16,0.25,0.10,0.61,0.96,5,8,13,5,17,1,30,0,-14,17.5,25.8,-8.3,0.4,0.2,0.6,0,,,
147,Brian Boyle\boylebr01,34,TOT,C,73,12,0.25,0.08,0.33,0.16,0.52,1.68,18,6,24,11,54,21,62,15,-14,29.1,27.0,2.1,1.6,0.7,2.3,0,,,
147,Brian Boyle\boylebr01,34,NJD,C,47,9,0.28,0.13,0.40,0.19,0.47,1.72,13,6,19,9,39,15,47,10,-13,18.2,17.1,1.1,1.5,0.4,1.9,1,0,1,0.0
147,Brian Boyle\boylebr01,34,NSH,C,26,3,0.19,0.00,0.19,0.11,0.62,1.62,5,0,5,3,15,6,15,5,-1,10.9,9.9,1.0,0.1,0.3,0.4,2,1,1,50.0
148,Brian Dumoulin\dumoubr01,27,PIT,D,76,7,0.04,0.26,0.30,0.09,0.26,1.30,3,20,23,7,89,1,78,21,31,74.6,61.8,12.8,0.7,5.0,5.7,0,,,
149,Brian Elliott\elliobr01,33,PHI,G,26,0,0.00,0.04,0.04,0.01,0.08,0.00,0,1,1,0,68,7,69,16,0,51.8,49.7,,0.0,0.0,3.9,0,,,
150,Brian Gibbons\gibbobr02,30,TOT,C,64,7,0.13,0.17,0.30,0.11,0.31,0.78,8,11,19,7,29,0,46,12,-5,21.9,33.2,-11.3,0.7,0.7,1.4,0,,,
151,Brian Lashoff\lashobr01,28,DET,D,4,0,0.00,0.25,0.25,0.07,0.50,0.50,0,1,1,0,2,0,3,0,-1,2.4,3.8,-1.4,0.0,0.0,0.1,0,,,
152,Brock Boeser\boesebr01,21,VAN,RW,69,23,0.38,0.43,0.81,0.33,0.32,3.03,26,30,56,22,87,27,62,0,-2,45.8,46.9,-1.1,4.7,1.6,6.3,9,2,7,22.2
153,Brock McGinn\mcginbr01,24,CAR,LW,82,10,0.12,0.20,0.32,0.12,0.24,1.50,10,16,26,10,47,1,53,17,10,35.3,34.1,1.1,0.4,1.8,2.2,3,1,2,33.3
154,Brock Nelson\nelsobr01,27,NYI,C,82,21,0.30,0.34,0.65,0.26,0.34,2.21,25,28,53,21,74,16,46,9,20,57.1,52.8,4.3,3.8,2.5,6.3,6,1,5,16.7
155,Brogan Rafferty\raffebr01,23,VAN,D,2,0,0.00,0.00,0.00,0.00,0.00,1.50,0,0,0,0,0,0,1,0,-1,0.4,1.6,-1.2,0.0,0.0,0.0,0,,,
156,Brooks Orpik\orpikbr01,38,WSH,D,53,3,0.04,0.13,0.17,0.06,0.60,0.81,2,7,9,3,42,0,54,20,8,27.7,30.5,-2.8,0.1,1.9,2.0,0,,,
157,Bryan Little\littlbr01,31,WPG,RW,82,15,0.18,0.32,0.50,0.18,0.32,1.54,15,26,41,15,66,16,76,14,-12,43.4,50.8,-7.4,2.0,0.9,2.9,1,0,1,0.0
158,Bryan Rust\rustbr01,26,PIT,RW,72,14,0.25,0.24,0.49,0.20,0.33,1.96,18,17,35,14,56,0,60,14,10,43.6,44.7,-1.1,2.1,1.6,3.7,0,,,
159,C.J. Smith\smithcj01,24,BUF,LW,11,1,0.18,0.00,0.18,0.10,0.00,1.64,2,0,2,1,3,0,3,0,0,4.3,5.8,-1.5,0.1,0.2,0.2,0,,,
160,Cal Clutterbuck\cluttca01,31,NYI,RW,73,8,0.11,0.21,0.32,0.12,0.60,1.30,8,15,23,8,36,4,50,24,6,32.6,26.3,6.3,0.3,1.5,1.7,0,,,
161,Caleb Jones\jonesca01,21,EDM,D,17,2,0.06,0.29,0.35,0.11,0.35,1.24,1,5,6,2,13,1,24,3,-9,11.1,12.4,-1.3,0.3,0.0,0.3,0,,,
162,Calle Jarnkrok\jarnkca01,27,NSH,C,79,10,0.13,0.20,0.33,0.13,0.15,1.34,10,16,26,10,52,3,53,17,13,36.9,38.9,-2.0,0.3,1.9,2.1,1,0,1,0.0
163,Calle Rosen\rosenca01,24,TOR,D,4,1,0.25,0.00,0.25,0.14,0.00,1.25,1,0,1,1,4,0,8,1,-3,3.5,3.0,0.5,0.1,-0.1,0.0,0,,,
164,Calvin de Haan\dehaaca01,27,CAR,D,74,4,0.01,0.18,0.19,0.06,0.27,1.38,1,13,14,4,49,1,68,21,1,53.0,44.9,8.1,-0.1,3.2,3.1,0,,,
165,Calvin Petersen\peterca01,24,LAK,G,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,24,4,27,12,0,17.9,21.1,,0.0,0.0,2.5,0,,,
166,Calvin Pickard\pickaca01,26,TOT,G,17,0,0.00,0.00,0.00,0.00,0.12,0.00,0,0,0,0,38,9,47,12,0,25.2,27.7,,0.0,0.0,0.7,0,,,
167,Cam Atkinson\atkinca01,29,CBJ,RW,80,30,0.51,0.35,0.86,0.38,0.25,3.69,41,28,69,30,101,19,85,5,3,62.4,58.8,3.6,7.0,1.8,8.8,3,2,1,66.7
168,Cam Fowler\fowleca01,27,ANA,D,59,8,0.08,0.31,0.39,0.13,0.34,1.49,5,18,23,8,58,18,62,8,-14,39.7,56.7,-17.1,1.2,2.5,3.6,0,,,
169,Cam Talbot\talboca01,31,TOT,G,35,0,0.00,0.03,0.03,0.01,0.00,0.00,0,1,1,0,87,21,107,28,0,66.0,67.1,,0.0,0.0,3.6,0,,,
170,Cam Ward\wardca01,34,CHI,G,33,0,0.00,0.03,0.03,0.01,0.12,0.00,0,1,1,0,107,15,115,31,0,69.2,86.5,,0.0,0.0,4.6,0,,,
171,Cameron Gaunce\gauncca01,28,TBL,D,2,0,0.00,0.00,0.00,0.00,3.50,1.00,0,0,0,0,3,0,0,0,3,1.6,1.4,0.2,0.0,0.3,0.2,0,,,
172,Cameron Schilling\schilca01,30,WPG,D,4,0,0.00,0.25,0.25,0.07,0.00,0.50,0,1,1,0,2,0,3,1,0,1.8,2.5,-0.7,0.0,0.1,0.1,0,,,
173,Carey Price\priceca01,31,MTL,G,66,0,0.00,0.02,0.02,0.00,0.03,0.00,0,1,1,0,186,23,161,29,0,152.9,133.3,,0.0,0.0,12.5,0,,,
174,Carl Dahlstrom\dahlsca01,24,CHI,D,38,2,0.00,0.16,0.16,0.04,0.16,1.11,0,6,6,2,41,0,42,10,9,27.1,36.3,-9.2,-0.3,1.7,1.5,0,,,
175,Carl Grundstrom\grundca01,21,LAK,RW,15,3,0.33,0.07,0.40,0.20,0.40,1.73,5,1,6,3,9,2,11,0,-4,8.0,7.9,0.1,0.5,0.2,0.6,0,,,
176,Carl Gunnarsson\gunnaca01,32,STL,D,25,3,0.12,0.16,0.28,0.11,0.24,0.84,3,4,7,3,24,0,22,6,8,17.7,13.1,4.6,0.5,1.5,2.0,0,,,
177,Carl Hagelin\hagelca01,30,TOT,LW,58,6,0.09,0.24,0.33,0.11,0.52,1.71,5,14,19,7,37,0,42,12,7,30.4,28.5,1.9,0.0,1.2,1.2,0,,,
178,Carl Soderberg\soderca01,33,COL,C,82,20,0.28,0.32,0.60,0.24,0.32,2.29,23,26,49,20,70,14,83,22,-5,49.5,48.3,1.2,3.3,1.4,4.7,1,1,0,100.0
179,Carter Hart\hartca01,20,PHI,G,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,75,17,81,9,0,51.4,62.9,,0.0,0.0,6.2,0,,,
180,Carter Hutton\huttoca01,33,BUF,G,50,0,0.00,0.02,0.02,0.01,0.04,0.00,0,1,1,0,108,24,141,23,0,95.1,109.1,,0.0,0.0,8.3,0,,,
181,Carter Rowney\rowneca01,29,ANA,RW,62,7,0.11,0.21,0.32,0.12,0.19,0.85,7,13,20,7,22,0,30,8,0,24.2,29.6,-5.4,0.6,1.1,1.6,0,,,
182,Casey Cizikas\cizikca01,27,NYI,C,73,14,0.27,0.18,0.45,0.20,0.49,1.52,20,13,33,14,44,0,45,23,22,35.6,31.5,4.1,2.5,2.1,4.6,0,,,
183,Casey DeSmith\desmica01,27,PIT,G,36,0,0.00,0.00,0.00,0.00,0.06,0.00,0,0,0,0,105,15,89,17,0,77.4,70.5,,0.0,0.0,6.6,0,,,
184,Casey Mittelstadt\mitteca01,20,BUF,C,77,10,0.16,0.17,0.32,0.13,0.13,1.53,12,13,25,10,47,15,51,0,-19,35.3,43.8,-8.5,0.8,0.6,1.4,5,2,3,40.0
185,Casey Nelson\nelsoca01,26,BUF,D,38,2,0.03,0.13,0.16,0.05,0.34,0.97,1,5,6,2,21,0,25,5,1,19.9,21.0,-1.1,0.0,1.6,1.6,0,,,
186,Cedric Paquette\paquece01,25,TBL,C,80,8,0.16,0.05,0.21,0.10,1.00,1.09,13,4,17,8,35,0,43,14,7,29.3,31.3,-2.0,0.3,1.1,1.4,0,,,
187,Chad Johnson\johnsch02,32,TOT,G,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,27,3,49,8,0,24.8,28.7,,0.0,0.0,0.9,0,,,
188,Chad Ruhwedel\ruhwech01,28,PIT,D,18,1,0.06,0.06,0.11,0.05,0.22,1.22,1,1,2,1,6,0,19,4,-9,10.8,10.0,0.7,-0.1,-0.2,-0.3,0,,,
189,Chandler Stephenson\stephch02,24,WSH,C,64,4,0.08,0.09,0.17,0.07,0.00,0.56,5,6,11,4,15,0,40,11,-13,21.1,28.6,-7.5,-0.6,0.2,-0.4,0,,,
190,Charles Hudon\hudonch01,24,MTL,LW,32,2,0.09,0.06,0.16,0.07,0.50,1.56,3,2,5,2,11,2,17,0,-9,12.3,13.6,-1.2,-0.2,0.0,-0.2,0,,,
191,Charlie Coyle\coylech01,26,TOT,C/RW,81,12,0.15,0.27,0.42,0.15,0.25,1.91,12,22,34,13,65,16,63,13,-1,47.8,42.2,5.6,0.8,1.8,2.7,0,,,
191,Charlie Coyle\coylech01,26,BOS,C/RW,21,2,0.10,0.19,0.29,0.10,0.19,2.00,2,4,6,2,10,3,13,4,-2,12.1,11.1,1.1,-0.1,0.3,0.2,1,1,0,100.0
192,Charlie Lindgren\lindgch01,25,MTL,G,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,5,1,5,0,0,4.8,4.0,,0.0,0.0,0.2,0,,,
193,Charlie McAvoy\mcavoch01,21,BOS,D,54,9,0.13,0.39,0.52,0.17,0.83,1.46,7,21,28,10,73,6,56,3,14,48.4,41.8,6.7,2.0,3.7,5.7,1,0,1,0.0
194,Chase De Leo\deleoch01,23,ANA,C,1,0,0.00,0.00,0.00,0.00,0.00,4.00,0,0,0,0,1,0,0,0,1,0.7,0.3,0.4,0.0,0.1,0.0,0,,,
195,Chris Butler\butlech01,32,STL,D,13,1,0.08,0.08,0.15,0.06,0.00,0.77,1,1,2,1,7,0,7,3,3,8.1,6.7,1.4,0.1,0.6,0.7,0,,,
196,Chris Kreider\kreidch01,27,NYR,C,79,22,0.35,0.30,0.66,0.27,0.72,2.54,28,24,52,22,97,29,66,1,4,54.9,48.6,6.4,4.2,1.8,6.0,0,,,
197,Chris Kunitz\kunitch01,39,CHI,LW,56,4,0.09,0.09,0.18,0.07,0.41,0.79,5,5,10,4,15,0,23,1,-7,17.2,22.3,-5.1,0.1,0.2,0.2,0,,,
198,Chris Tanev\tanevch01,29,VAN,D,55,4,0.04,0.18,0.22,0.07,0.33,0.93,2,10,12,4,40,0,62,25,3,33.3,38.5,-5.2,0.1,2.9,3.0,0,,,
199,Chris Thorburn\thorbch01,35,STL,RW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.4,-0.4,0.0,0.0,0.0,0,,,
200,Chris Tierney\tiernch01,24,OTT,C,81,15,0.11,0.48,0.59,0.19,0.32,1.43,9,39,48,16,73,18,94,17,-22,46.2,57.6,-11.4,1.8,0.7,2.5,0,,,
201,Chris Wagner\wagnech01,27,BOS,C,76,8,0.16,0.09,0.25,0.11,0.67,1.78,12,7,19,8,33,0,41,11,3,35.4,35.6,-0.3,0.2,1.4,1.6,0,,,
202,Chris Wideman\widemch01,29,TOT,D,25,2,0.08,0.20,0.28,0.10,0.72,1.08,2,5,7,2,16,6,21,0,-12,10.2,12.1,-1.9,0.5,-0.2,0.3,0,,,
203,Christian Djoos\djoosch01,24,WSH,D,45,3,0.02,0.20,0.22,0.07,0.09,0.73,1,9,10,3,28,0,21,2,9,22.9,26.5,-3.6,0.3,1.6,2.0,0,,,
204,Christian Dvorak\dvorach01,22,ARI,C,20,3,0.10,0.25,0.35,0.13,0.10,1.25,2,5,7,2,11,1,12,0,-2,10.8,11.4,-0.6,0.1,0.4,0.5,0,,,
205,Christian Fischer\fischch01,21,ARI,RW,71,8,0.15,0.10,0.25,0.11,0.38,1.63,11,7,18,8,31,8,35,0,-13,30.4,32.6,-2.3,0.4,0.9,1.3,0,,,
206,Christian Folin\folinch01,27,TOT,D,45,2,0.00,0.13,0.13,0.04,0.60,1.04,0,6,6,2,37,0,37,6,6,26.4,26.6,-0.2,-0.3,1.8,1.6,0,,,
207,Christian Jaros\jarosch01,22,OTT,D,61,3,0.02,0.15,0.16,0.05,0.44,1.07,1,9,10,3,31,4,49,8,-14,28.4,35.4,-7.0,0.0,0.8,0.8,0,,,
208,Christian Wolanin\wolanch01,23,OTT,D,30,4,0.13,0.27,0.40,0.14,0.20,1.20,4,8,12,4,36,6,27,0,3,17.6,21.8,-4.2,1.0,1.3,2.3,0,,,
209,Christoffer Ehn\ehnch01,22,DET,C,60,3,0.05,0.10,0.15,0.05,0.10,0.82,3,6,9,3,14,0,26,6,-5,19.3,28.4,-9.1,-0.6,0.5,-0.1,0,,,
210,Christopher Gibson\gibsoch01,26,NYI,G,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,2,0,1,0,0,1.8,0.9,,0.0,0.0,0.2,0,,,
211,Clark Bishop\bishocl01,22,CAR,C,20,1,0.05,0.10,0.15,0.06,0.30,0.80,1,2,3,1,8,0,11,0,-3,8.0,6.7,1.3,-0.1,0.1,0.0,0,,,
212,Claude Giroux\giroucl01,31,PHI,C/RW,82,29,0.27,0.77,1.04,0.35,0.29,2.79,22,63,85,29,122,33,93,13,9,60.7,60.5,0.1,5.7,2.2,7.9,4,1,3,25.0
213,Clayton Keller\kellecl01,20,ARI,C,82,17,0.17,0.40,0.57,0.21,0.29,2.44,14,33,47,17,73,27,69,2,-21,48.5,54.7,-6.2,2.2,1.4,3.6,4,0,4,0.0
214,Cody Ceci\cecico01,25,OTT,D,74,9,0.09,0.26,0.35,0.12,0.24,1.78,7,19,26,9,69,3,113,25,-22,57.4,72.1,-14.7,1.2,1.9,3.1,0,,,
215,Cody Eakin\eakinco01,27,VEG,C,78,17,0.28,0.24,0.53,0.22,0.21,1.54,22,19,41,17,61,6,50,13,19,42.5,46.2,-3.8,3.1,2.1,5.2,0,,,
216,Cody Goloubef\golouco01,29,OTT,D,5,0,0.00,0.00,0.00,0.00,0.40,0.60,0,0,0,0,1,0,1,0,0,3.0,2.0,1.0,-0.1,0.1,0.0,0,,,
217,Cody McLeod\mcleoco01,34,TOT,LW,38,1,0.03,0.00,0.03,0.01,1.76,0.58,1,0,1,1,4,0,17,0,-13,8.6,13.3,-4.7,-0.5,-0.2,-0.7,0,,,
218,Colby Cave\caveco01,24,TOT,C,53,3,0.06,0.09,0.15,0.06,0.30,1.09,3,5,8,3,15,0,28,8,-5,24.8,22.7,2.1,-0.7,0.6,-0.1,0,,,
219,Colin Blackwell\blackco01,25,NSH,C,6,0,0.00,0.00,0.00,0.00,0.33,0.83,0,0,0,0,0,0,1,0,-1,2.4,2.2,0.2,-0.2,0.0,-0.1,0,,,
220,Colin Miller\milleco02,26,VEG,D,65,9,0.05,0.40,0.45,0.14,0.68,2.02,3,26,29,9,65,17,49,1,0,50.6,41.8,8.7,1.7,2.7,4.5,0,,,
221,Colin White\whiteco02,22,OTT,C,71,15,0.20,0.38,0.58,0.21,0.34,1.73,14,27,41,15,62,19,70,3,-24,40.7,40.5,0.2,2.3,0.4,2.6,0,,,
222,Colin Wilson\wilsoco01,29,COL,C,65,11,0.18,0.23,0.42,0.16,0.12,1.60,12,15,27,11,46,17,35,0,-6,28.9,32.4,-3.5,1.5,0.7,2.2,0,,,
223,Collin Delia\deliaco01,24,CHI,G,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,49,18,50,11,0,27.5,44.1,,0.0,0.0,2.9,0,,,
224,Colton Parayko\parayco01,25,STL,D,80,10,0.13,0.23,0.35,0.13,0.19,2.20,10,18,28,10,84,13,57,6,20,67.1,57.5,9.7,1.6,5.6,7.2,0,,,
225,Colton Sceviour\scevico01,29,FLA,C/RW,59,5,0.08,0.17,0.25,0.09,0.25,1.97,5,10,15,5,25,1,38,12,-2,20.0,21.6,-1.6,0.0,0.8,0.8,0,,,
226,Colton Sissons\sissoco01,25,NSH,C,75,12,0.20,0.20,0.40,0.17,0.31,1.47,15,15,30,12,60,9,49,18,20,36.6,35.8,0.8,1.2,2.1,3.3,0,,,
227,Colton White\whiteco03,21,NJD,D,3,0,0.00,0.00,0.00,0.00,0.67,0.33,0,0,0,0,1,0,3,0,-2,1.6,2.0,-0.4,-0.1,0.0,-0.1,0,,,
228,Connor Brickley\brickco01,26,NYR,C,14,1,0.07,0.21,0.29,0.10,0.64,1.29,1,3,4,1,5,0,2,0,3,5.7,6.7,-1.1,0.2,0.3,0.4,0,,,
229,Connor Brown\brownco02,25,TOR,RW,82,10,0.10,0.26,0.35,0.12,0.20,1.04,8,21,29,10,43,2,46,16,11,33.4,40.0,-6.5,0.6,1.4,2.0,0,,,
230,Connor Carrick\carrico01,24,TOT,D,34,4,0.06,0.26,0.32,0.10,0.56,1.24,2,9,11,4,18,1,30,0,-13,21.5,21.1,0.4,0.6,0.5,1.1,0,,,
231,Connor Clifton\cliftco01,23,BOS,D,19,0,0.00,0.05,0.05,0.01,0.79,1.16,0,1,1,0,11,0,8,2,5,13.0,9.8,3.1,-0.3,1.1,0.8,0,,,
232,Connor Hellebuyck\helleco01,25,WPG,G,63,1,0.00,0.05,0.05,0.01,0.06,0.00,0,3,3,1,198,47,179,40,0,124.0,131.3,,0.0,0.0,12.1,0,,,
233,Connor McDavid\mcdavco01,22,EDM,C,78,43,0.53,0.96,1.49,0.55,0.26,3.08,41,75,116,43,142,42,107,10,3,73.7,71.7,2.1,10.8,2.1,13.0,4,2,2,50.0
234,Connor Murphy\murphco02,25,CHI,D,52,5,0.10,0.15,0.25,0.09,0.77,1.62,5,8,13,5,49,0,58,20,12,36.3,48.8,-12.4,0.6,2.4,3.0,0,,,
235,Conor Garland\garlaco01,22,ARI,RW,47,9,0.28,0.11,0.38,0.18,0.26,2.51,13,5,18,8,30,14,15,0,1,20.0,16.3,3.7,1.5,0.9,2.5,1,1,0,100.0
236,Conor Sheary\shearco01,26,BUF,LW,78,13,0.18,0.26,0.44,0.17,0.15,1.88,14,20,34,13,53,15,57,1,-18,44.0,47.2,-3.3,1.6,0.8,2.4,3,1,2,33.3
237,Cooper Marody\marodco01,22,EDM,C,6,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,1,0,-1,1.6,1.4,0.2,-0.1,0.0,-0.1,0,,,
238,Corban Knight\knighco01,28,PHI,C,23,1,0.04,0.13,0.17,0.06,0.00,0.65,1,3,4,1,4,0,12,3,-5,5.9,8.0,-2.1,-0.1,0.0,-0.1,0,,,
239,Corey Crawford\crawfco01,34,CHI,G,39,1,0.00,0.10,0.10,0.03,0.00,0.00,0,4,4,1,102,13,108,21,0,83.4,88.7,,0.0,0.0,6.3,0,,,
240,Corey Perry\perryco01,33,ANA,RW,31,4,0.19,0.13,0.32,0.14,0.87,1.90,6,4,10,4,13,5,24,0,-16,14.8,14.6,0.2,0.3,0.0,0.4,0,,,
241,Cory Conacher\conacco01,29,TBL,LW,1,0,0.00,0.00,0.00,0.00,2.00,1.00,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.0,0.0,0.0,0,,,
242,Cory Schneider\schneco01,32,NJD,G,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,54,12,70,9,0,43.9,49.1,,0.0,0.0,3.4,0,,,
243,Craig Anderson\andercr01,37,OTT,G,50,1,0.00,0.04,0.04,0.01,0.00,0.00,0,2,2,1,136,29,162,27,0,87.1,118.2,,0.0,0.0,8.1,0,,,
244,Craig Smith\smithcr01,29,NSH,C,76,16,0.28,0.22,0.50,0.21,0.26,2.70,21,17,38,16,61,18,32,0,11,40.2,40.7,-0.5,2.8,1.7,4.5,1,0,1,0.0
245,Curtis Lazar\lazarcu01,23,CGY,C/RW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,0.4,0.2,0.2,0.0,0.0,0.0,0,,,
246,Curtis McElhinney\mcelhcu01,35,CAR,G,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,92,11,85,15,0,78.1,66.8,,0.0,0.0,5.6,0,,,
247,Dakota Mermis\mermida01,25,ARI,D,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,1,0.7,0.2,0.5,0.0,0.1,0.1,0,,,
248,Dale Weise\weiseda01,30,TOT,RW,51,4,0.10,0.12,0.22,0.08,0.37,1.14,5,6,11,4,15,0,34,11,-8,20.5,18.8,1.7,-0.1,0.3,0.2,0,,,
249,Dalton Prout\proutda01,28,CGY,D,20,1,0.05,0.05,0.10,0.04,0.40,0.70,1,1,2,1,12,0,13,2,1,10.0,7.5,2.5,0.0,0.5,0.5,0,,,
250,Damon Severson\severda01,24,NJD,D,82,14,0.13,0.34,0.48,0.17,0.71,1.78,11,28,39,14,85,19,106,13,-27,60.9,67.4,-6.5,2.9,2.4,5.4,2,1,1,50.0
251,Dan Girardi\girarda01,34,TBL,D,62,5,0.06,0.19,0.26,0.09,0.19,1.21,4,12,16,5,55,0,60,11,6,45.7,43.7,2.0,0.7,2.1,2.8,0,,,
252,Dan Hamhuis\hamhuda01,36,NSH,D,57,1,0.00,0.09,0.09,0.02,0.49,0.68,0,5,5,1,27,0,36,7,-2,30.7,34.2,-3.5,-0.6,1.8,1.2,0,,,
253,Danick Martel\marteda01,24,TBL,LW,9,1,0.00,0.22,0.22,0.06,0.89,1.78,0,2,2,1,4,0,1,0,3,3.4,3.0,0.4,-0.1,0.2,0.1,0,,,
254,Daniel Brickley\brickda01,23,LAK,D,4,0,0.00,0.25,0.25,0.07,0.00,0.50,0,1,1,0,2,0,4,0,-2,2.5,1.7,0.7,0.0,0.0,0.0,0,,,
255,Daniel Carr\carrda01,27,VEG,LW,6,1,0.17,0.00,0.17,0.09,0.00,1.83,1,0,1,1,2,0,3,0,-1,2.7,2.2,0.5,0.0,0.0,0.1,0,,,
256,Daniel O'Regan\oregada01,25,BUF,C,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.0,0.0,0.0,0,,,
257,Daniel Sprong\spronda01,21,TOT,RW,63,10,0.22,0.14,0.37,0.16,0.16,1.98,14,9,23,10,30,7,39,0,-16,28.0,32.1,-4.1,1.6,0.4,2.0,0,,,
257,Daniel Sprong\spronda01,21,ANA,RW,47,9,0.30,0.11,0.40,0.19,0.21,2.32,14,5,19,9,25,5,29,0,-9,23.0,25.9,-3.0,1.6,0.5,2.1,1,1,0,100.0
258,Danny DeKeyser\dekeyda01,28,DET,D,52,7,0.10,0.29,0.38,0.13,0.75,1.13,5,15,20,7,50,0,72,23,2,40.3,44.4,-4.1,1.1,2.6,3.8,0,,,
259,Dante Fabbro\fabbrda01,20,NSH,D,4,1,0.25,0.00,0.25,0.14,0.00,1.25,1,0,1,1,1,0,2,0,-1,1.6,2.0,-0.4,0.1,0.0,0.2,0,,,
260,Danton Heinen\heineda01,23,BOS,C/LW,77,12,0.14,0.30,0.44,0.16,0.21,1.48,11,23,34,12,52,14,27,2,13,38.4,32.7,5.7,1.5,1.8,3.3,3,0,3,0.0
261,Darcy Kuemper\kuempda01,28,ARI,G,55,1,0.00,0.04,0.04,0.01,0.25,0.00,0,2,2,1,135,28,126,20,0,108.3,116.1,,0.0,0.0,12.0,0,,,
262,Darnell Nurse\nurseda01,23,EDM,D,82,14,0.12,0.38,0.50,0.17,1.06,2.39,10,31,41,14,103,23,111,26,-5,68.1,71.8,-3.7,2.8,3.8,6.6,0,,,
263,Darren Archibald\archida02,28,TOT,RW,12,1,0.08,0.08,0.17,0.07,1.00,0.83,1,1,2,1,3,0,6,0,-3,2.3,3.1,-0.7,0.1,0.0,0.1,0,,,
